Order_Month,customerNumber,country,productLine,productName,Purchase_count,Total_Spent
August,249,Italy,"Vintage Cars","1917 Grand Touring Sedan",1,4199
November,171,France,Motorcycles,"1996 Moto Guzzi 1100i",1,4196
July,386,Italy,"Classic Cars","1948 Porsche Type 356 Roadster",1,4196
November,381,Belgium,"Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",1,4193
October,321,USA,"Vintage Cars","1937 Lincoln Berline",1,4192
August,204,USA,"Classic Cars","1976 Ford Gran Torino",1,4189
November,172,France,"Classic Cars","1969 Corvair Monza",1,4188
October,141,Spain,"Classic Cars","2002 Chevy Corvette",1,4187
April,209,France,"Classic Cars","1949 Jaguar XK 120",1,4185
August,260,Canada,Ships,"18th century schooner",1,4181
November,259,Germany,"Classic Cars","1968 Dodge Charger",1,4181
August,334,Finland,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,4176
November,240,UK,"Classic Cars","1972 Alfa Romeo GTA",1,4174
September,166,Singapore,"Classic Cars","2002 Chevy Corvette",1,4171
November,484,Spain,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,4167
April,172,France,"Trucks and Buses","1964 Mercedes Tour Bus",1,4164
August,334,Finland,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,4164
December,495,USA,"Trucks and Buses","1980â€™s GM Manhattan Express",1,4153
September,487,USA,"Vintage Cars","1932 Model A Ford J-Coupe",1,4153
July,124,USA,"Classic Cars","1957 Corvette Convertible",1,4152
February,141,Spain,"Classic Cars","1965 Aston Martin DB5",1,4146
March,353,France,"Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",1,4145
April,181,USA,Motorcycles,"2002 Suzuki XREO",1,4145
November,339,USA,"Classic Cars","1952 Alpine Renault 1300",1,4140
May,455,USA,"Classic Cars","1962 LanciaA Delta 16V",1,4137
March,242,France,Ships,"The Titanic",1,4135
March,240,UK,Ships,"The Titanic",1,4135
October,186,Finland,"Classic Cars","1972 Alfa Romeo GTA",1,4134
December,141,Spain,"Trucks and Buses","1957 Chevy Pickup",1,4131
February,131,USA,Motorcycles,"1996 Moto Guzzi 1100i",1,4129
September,103,France,Motorcycles,"1996 Moto Guzzi 1100i",1,4129
May,119,France,"Classic Cars","1998 Chrysler Plymouth Prowler",1,4126
November,320,USA,"Vintage Cars","1904 Buick Runabout",1,4125
July,314,Belgium,Trains,"Collectable Wooden Train",1,4123
September,333,Australia,"Classic Cars","1970 Triumph Spitfire",1,4122
February,145,Denmark,"Classic Cars","1969 Ford Falcon",1,4115
June,166,Singapore,"Classic Cars","1992 Ferrari 360 Spider red",1,4115
February,239,USA,"Classic Cars","1965 Aston Martin DB5",1,4114
November,278,Italy,Planes,"1928 British Royal Navy Airplane",1,4114
May,362,USA,Trains,"Collectable Wooden Train",1,4114
February,321,USA,"Vintage Cars","1913 Ford Model T Speedster",1,4112
November,187,UK,"Vintage Cars","1937 Lincoln Berline",1,4111
October,148,Singapore,"Classic Cars","1969 Ford Falcon",1,4111
December,250,France,"Vintage Cars","1937 Lincoln Berline",1,4110
July,353,France,"Classic Cars","1999 Indy 500 Monte Carlo SS",1,4103
November,320,USA,"Classic Cars","2001 Ferrari Enzo",1,4102
October,286,USA,"Trucks and Buses","1957 Chevy Pickup",1,4098
July,282,Australia,"Trucks and Buses","1940s Ford truck",1,4095
May,119,France,"Trucks and Buses","1940s Ford truck",1,4095
November,187,UK,"Vintage Cars","1932 Model A Ford J-Coupe",1,4094
October,321,USA,"Vintage Cars","1917 Grand Touring Sedan",1,4092
May,173,USA,"Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",1,4091
June,166,Singapore,"Trucks and Buses","1964 Mercedes Tour Bus",1,4090
June,324,UK,"Classic Cars","1972 Alfa Romeo GTA",1,4084
May,350,France,"Classic Cars","1957 Corvette Convertible",1,4083
July,314,Belgium,"Classic Cars","1972 Alfa Romeo GTA",1,4080
January,363,USA,"Vintage Cars","1917 Grand Touring Sedan",1,4080
May,141,Spain,"Trucks and Buses","1926 Ford Fire Engine",2,4074
February,171,France,Motorcycles,"2002 Yamaha YZR M1",1,4068
December,496,"New Zealand","Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",1,4066
July,282,Australia,"Trucks and Buses","1940 Ford Pickup Truck",1,4064
October,424,USA,"Vintage Cars","18th Century Vintage Horse Carriage",1,4063
September,148,Singapore,"Trucks and Buses","1958 Setra Bus",1,4059
November,486,USA,"Classic Cars","1995 Honda Civic",1,4054
March,129,USA,"Vintage Cars","18th Century Vintage Horse Carriage",1,4053
October,424,USA,"Vintage Cars","1936 Chrysler Airflow",1,4050
August,298,Switzerland,"Classic Cars","1957 Corvette Convertible",1,4047
March,412,"New Zealand",Ships,"1999 Yamaha Speed Boat",1,4046
August,249,Italy,"Vintage Cars","1932 Model A Ford J-Coupe",1,4045
November,398,Japan,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,4040
July,151,USA,"Classic Cars","1952 Citroen-15CV",1,4040
November,278,Italy,"Vintage Cars","1917 Grand Touring Sedan",1,4039
May,386,Italy,Planes,"ATA: B757-300",1,4038
August,320,USA,Planes,"1980s Black Hawk Helicopter",1,4037
November,114,Australia,"Vintage Cars","1913 Ford Model T Speedster",1,4036
August,157,USA,"Trucks and Buses","1957 Chevy Pickup",1,4033
September,141,Spain,"Classic Cars","2001 Ferrari Enzo",1,4031
June,166,Singapore,"Classic Cars","1998 Chrysler Plymouth Prowler",1,4028
June,141,Spain,"Vintage Cars","1940 Ford Delivery Sedan",1,4027
July,314,Belgium,"Vintage Cars","1940 Ford Delivery Sedan",1,4025
May,131,USA,Trains,"Collectable Wooden Train",1,4024
April,148,Singapore,Ships,"The Queen Mary",1,4022
November,456,USA,Motorcycles,"2002 Suzuki XREO",1,4022
November,187,UK,"Vintage Cars","18th Century Vintage Horse Carriage",1,4021
July,161,USA,"Trucks and Buses","1940s Ford truck",1,4020
January,141,Spain,"Classic Cars","1965 Aston Martin DB5",1,4019
January,311,Finland,Planes,"1980s Black Hawk Helicopter",1,4018
November,129,USA,"Trucks and Buses","1958 Setra Bus",1,4014
April,328,USA,Motorcycles,"1997 BMW F650 ST",1,4014
January,124,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,4012
February,124,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,4012
January,161,USA,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,4005
March,250,France,"Classic Cars","1972 Alfa Romeo GTA",1,4004
August,298,Switzerland,"Classic Cars","1968 Ford Mustang",1,4004
February,239,USA,"Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",1,4002
November,181,USA,"Classic Cars","1969 Corvair Monza",1,3998
December,447,USA,Motorcycles,"1997 BMW F650 ST",1,3997
November,131,USA,"Classic Cars","1969 Dodge Charger",1,3997
April,201,UK,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,3995
May,103,France,"Classic Cars","1948 Porsche Type 356 Roadster",1,3987
October,321,USA,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,3986
April,141,Spain,"Vintage Cars","1937 Lincoln Berline",1,3986
November,121,Norway,"Classic Cars","1969 Ford Falcon",1,3986
April,172,France,"Classic Cars","1962 LanciaA Delta 16V",1,3984
November,385,Philippines,Planes,"America West Airlines B757-200",1,3979
July,386,Italy,"Classic Cars","1992 Ferrari 360 Spider red",1,3978
November,276,Australia,"Classic Cars","1957 Corvette Convertible",1,3977
November,363,USA,"Vintage Cars","1937 Lincoln Berline",1,3976
February,119,France,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,3975
March,146,France,"Classic Cars","1949 Jaguar XK 120",1,3972
November,458,Spain,"Trucks and Buses","1962 Volkswagen Microbus",1,3972
November,363,USA,"Classic Cars","1949 Jaguar XK 120",1,3971
July,282,Australia,"Classic Cars","1962 LanciaA Delta 16V",1,3971
January,121,Norway,"Vintage Cars","1917 Maxwell Touring Car",1,3970
September,448,Sweden,"Trucks and Buses","1940 Ford Pickup Truck",1,3970
January,381,Belgium,"Classic Cars","1995 Honda Civic",1,3966
March,323,"New Zealand","Trucks and Buses","1964 Mercedes Tour Bus",1,3964
May,141,Spain,"Classic Cars","1982 Camaro Z28",1,3955
November,319,USA,"Trucks and Buses","1964 Mercedes Tour Bus",1,3952
January,121,Norway,"Classic Cars","1982 Camaro Z28",1,3951
November,324,UK,"Classic Cars","1962 LanciaA Delta 16V",1,3949
November,216,Spain,"Vintage Cars","1904 Buick Runabout",1,3949
November,353,France,"Classic Cars","1965 Aston Martin DB5",1,3942
November,278,Italy,"Vintage Cars","1932 Model A Ford J-Coupe",1,3941
May,119,France,"Classic Cars","1992 Ferrari 360 Spider red",1,3935
June,141,Spain,Planes,"P-51-D Mustang",1,3933
January,379,USA,"Vintage Cars","1937 Lincoln Berline",1,3933
December,202,Canada,"Trucks and Buses","1940 Ford Pickup Truck",1,3927
October,319,USA,Motorcycles,"1996 Moto Guzzi 1100i",1,3923
June,398,Japan,"Classic Cars","1982 Camaro Z28",1,3915
October,119,France,Ships,"18th century schooner",1,3914
September,276,Australia,"Classic Cars","1952 Citroen-15CV",1,3913
November,496,"New Zealand",Motorcycles,"1997 BMW F650 ST",1,3911
May,386,Italy,Motorcycles,"1997 BMW F650 ST",1,3911
November,216,Spain,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,3910
May,233,Canada,"Classic Cars","1962 LanciaA Delta 16V",1,3909
January,177,Japan,Motorcycles,"1997 BMW F650 ST",1,3906
September,189,Ireland,Planes,"ATA: B757-300",1,3904
November,484,Spain,"Trucks and Buses","1957 Chevy Pickup",1,3902
December,475,USA,Planes,"American Airlines: B767-300",1,3902
August,112,USA,"Classic Cars","1993 Mazda RX-7",1,3898
May,350,France,"Classic Cars","1993 Mazda RX-7",1,3898
November,484,Spain,"Trucks and Buses","1980â€™s GM Manhattan Express",1,3898
April,141,Spain,"Vintage Cars","1936 Chrysler Airflow",1,3896
September,141,Spain,"Vintage Cars","1903 Ford Model A",1,3895
October,148,Singapore,"Classic Cars","1998 Chrysler Plymouth Prowler",1,3894
December,495,USA,"Classic Cars","1962 LanciaA Delta 16V",1,3893
January,141,Spain,"Classic Cars","1968 Dodge Charger",1,3893
June,357,"New Zealand","Vintage Cars","1903 Ford Model A",1,3890
December,141,Spain,Trains,"Collectable Wooden Train",1,3886
October,121,Norway,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,3884
April,328,USA,"Vintage Cars","1928 Ford Phaeton Deluxe",1,3881
November,205,USA,Motorcycles,"2002 Suzuki XREO",1,3880
November,344,Spain,Ships,"The Titanic",1,3879
February,239,USA,Ships,"1999 Yamaha Speed Boat",1,3878
November,462,USA,"Classic Cars","1948 Porsche Type 356 Roadster",1,3877
November,278,Italy,Planes,"ATA: B757-300",1,3876
November,157,USA,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,3874
August,205,USA,Motorcycles,"1996 Moto Guzzi 1100i",1,3873
March,124,USA,"Vintage Cars","1939 Cadillac Limousine",2,3871
April,311,Finland,"Classic Cars","1956 Porsche 356A Coupe",1,3869
January,406,France,"Classic Cars","1976 Ford Gran Torino",1,3869
September,362,USA,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,3868
April,114,Australia,Motorcycles,"1997 BMW R 1100 S",1,3866
January,121,Norway,"Trucks and Buses","1962 Volkswagen Microbus",1,3864
November,145,Denmark,Planes,"1980s Black Hawk Helicopter",1,3864
February,278,Italy,"Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",1,3863
November,167,"Norway  ","Classic Cars","1969 Dodge Charger",1,3856
March,385,Philippines,"Classic Cars","1969 Dodge Charger",1,3856
March,141,Spain,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,3851
November,157,USA,Motorcycles,"1997 BMW F650 ST",1,3850
November,339,USA,"Vintage Cars","1936 Chrysler Airflow",1,3845
November,114,Australia,"Trucks and Buses","1958 Setra Bus",1,3845
September,487,USA,"Vintage Cars","1928 Mercedes-Benz SSK",1,3842
November,216,Spain,Ships,"1999 Yamaha Speed Boat",1,3838
March,385,Philippines,"Classic Cars","1976 Ford Gran Torino",1,3836
May,141,Spain,Motorcycles,"1997 BMW R 1100 S",1,3826
November,452,Austria,"Classic Cars","1969 Dodge Charger",1,3824
January,124,USA,"Classic Cars","1969 Chevrolet Camaro Z28",1,3820
March,187,UK,"Vintage Cars","1932 Model A Ford J-Coupe",1,3818
June,324,UK,"Vintage Cars","1940 Ford Delivery Sedan",1,3816
May,175,USA,"Classic Cars","1969 Ford Falcon",1,3806
June,233,Canada,Ships,"18th century schooner",1,3805
November,458,Spain,"Trucks and Buses","1980â€™s GM Manhattan Express",1,3802
April,328,USA,Planes,"Corsair F4U ( Bird Cage)",1,3800
September,276,Australia,"Classic Cars","1948 Porsche Type 356 Roadster",1,3798
September,447,USA,"Classic Cars","1957 Corvette Convertible",1,3797
October,259,Germany,"Classic Cars","1970 Plymouth Hemi Cuda",1,3793
April,450,USA,Ships,"HMS Bounty",1,3789
November,240,UK,Planes,"1980s Black Hawk Helicopter",1,3789
July,282,Australia,"Trucks and Buses","1958 Setra Bus",1,3788
June,324,UK,Ships,"The Titanic",1,3786
October,299,"Norway  ","Classic Cars","1965 Aston Martin DB5",1,3783
August,124,USA,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,3783
November,121,Norway,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,3783
June,201,UK,"Classic Cars","1968 Ford Mustang",1,3782
January,141,Spain,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,3781
August,298,Switzerland,"Classic Cars","1948 Porsche Type 356 Roadster",1,3776
August,249,Italy,"Vintage Cars","1913 Ford Model T Speedster",1,3775
July,496,"New Zealand","Classic Cars","1969 Chevrolet Camaro Z28",1,3775
February,145,Denmark,"Vintage Cars","1940 Ford Delivery Sedan",1,3774
January,398,Japan,Ships,"18th century schooner",1,3774
October,141,Spain,"Vintage Cars","1932 Alfa Romeo 8C2300 Spider Sport",1,3773
August,124,USA,Ships,"18th century schooner",1,3772
November,141,Spain,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,3772
May,412,"New Zealand","Classic Cars","1976 Ford Gran Torino",1,3770
September,198,USA,"Vintage Cars","1936 Chrysler Airflow",1,3769
February,189,Ireland,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,3764
June,450,USA,"Vintage Cars","1936 Chrysler Airflow",1,3763
October,148,Singapore,"Trucks and Buses","1962 Volkswagen Microbus",1,3762
October,121,Norway,Motorcycles,"2002 Suzuki XREO",1,3760
December,357,"New Zealand","Classic Cars","1961 Chevrolet Impala",1,3759
November,319,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,3758
October,319,USA,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,3757
December,141,Spain,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,3756
October,124,USA,"Vintage Cars","1928 Mercedes-Benz SSK",1,3755
July,412,"New Zealand","Vintage Cars","1917 Maxwell Touring Car",1,3753
March,124,USA,"Vintage Cars","1904 Buick Runabout",1,3752
September,487,USA,"Vintage Cars","1917 Maxwell Touring Car",1,3750
October,227,Denmark,"Classic Cars","1970 Triumph Spitfire",1,3749
October,321,USA,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,3749
October,321,USA,Motorcycles,"1996 Moto Guzzi 1100i",1,3741
March,141,Spain,Ships,"The Titanic",1,3741
January,379,USA,"Vintage Cars","1936 Chrysler Airflow",1,3740
August,141,Spain,"Classic Cars","1949 Jaguar XK 120",1,3740
December,124,USA,"Vintage Cars","1913 Ford Model T Speedster",1,3738
October,452,Austria,"Trucks and Buses","1940 Ford Pickup Truck",1,3738
May,112,USA,"Classic Cars","1969 Chevrolet Camaro Z28",1,3733
November,398,Japan,Planes,"1900s Vintage Bi-Plane",1,3730
May,382,Austria,"Classic Cars","1965 Aston Martin DB5",1,3730
July,250,France,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,3728
January,406,France,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,3728
October,141,Spain,Planes,"American Airlines: B767-300",1,3727
April,260,Canada,Motorcycles,"1997 BMW F650 ST",1,3727
January,181,USA,"Vintage Cars","1937 Lincoln Berline",1,3726
November,240,UK,Planes,"F/A 18 Hornet 1/72",1,3725
November,129,USA,"Vintage Cars","1936 Chrysler Airflow",1,3722
May,362,USA,"Vintage Cars","1940 Ford Delivery Sedan",1,3721
July,496,"New Zealand","Vintage Cars","1932 Alfa Romeo 8C2300 Spider Sport",1,3720
December,151,USA,"Classic Cars","1949 Jaguar XK 120",1,3716
February,298,Switzerland,"Classic Cars","1993 Mazda RX-7",1,3714
March,323,"New Zealand","Trucks and Buses","1962 Volkswagen Microbus",1,3711
November,112,USA,"Vintage Cars","1937 Lincoln Berline",1,3711
November,181,USA,"Classic Cars","1992 Ferrari 360 Spider red",1,3704
October,201,UK,"Classic Cars","1949 Jaguar XK 120",1,3696
July,151,USA,"Classic Cars","1969 Chevrolet Camaro Z28",1,3692
March,353,France,Planes,"American Airlines: B767-300",1,3692
November,363,USA,"Trucks and Buses","1958 Setra Bus",1,3690
November,144,Sweden,"Vintage Cars","1904 Buick Runabout",1,3686
May,131,USA,"Vintage Cars","1904 Buick Runabout",1,3686
October,259,Germany,"Classic Cars","1961 Chevrolet Impala",1,3684
January,475,USA,"Vintage Cars","1936 Chrysler Airflow",1,3684
June,323,"New Zealand","Classic Cars","1952 Citroen-15CV",1,3682
January,141,Spain,"Classic Cars","1949 Jaguar XK 120",1,3680
July,353,France,"Classic Cars","1948 Porsche Type 356 Roadster",1,3679
October,187,UK,"Vintage Cars","1903 Ford Model A",1,3672
January,398,Japan,"Vintage Cars","1903 Ford Model A",1,3672
October,186,Finland,Ships,"1999 Yamaha Speed Boat",1,3671
November,320,USA,Ships,"The Titanic",1,3669
June,141,Spain,Ships,"HMS Bounty",1,3664
September,131,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,3661
November,145,Denmark,Ships,"The Titanic",1,3661
July,119,France,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,3661
October,448,Sweden,Ships,"18th century schooner",1,3650
January,141,Spain,"Classic Cars","1969 Dodge Charger",1,3648
December,129,USA,Motorcycles,"1997 BMW R 1100 S",1,3648
November,172,France,"Trucks and Buses","1957 Chevy Pickup",1,3648
July,314,Belgium,Ships,"The Titanic",1,3646
February,278,Italy,Planes,"ATA: B757-300",1,3645
August,124,USA,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,3643
November,146,France,"Trucks and Buses","1940s Ford truck",1,3642
July,161,USA,"Classic Cars","1982 Camaro Z28",1,3641
November,131,USA,Motorcycles,"1997 BMW F650 ST",1,3641
April,406,France,Motorcycles,"1960 BSA Gold Star DBD34",1,3640
December,202,Canada,"Vintage Cars","1913 Ford Model T Speedster",1,3636
January,334,Finland,"Classic Cars","1968 Dodge Charger",1,3634
December,141,Spain,"Vintage Cars","1936 Chrysler Airflow",1,3633
November,276,Australia,Motorcycles,"2002 Yamaha YZR M1",1,3632
April,114,Australia,Planes,"1928 British Royal Navy Airplane",1,3627
November,455,USA,"Classic Cars","1969 Corvair Monza",1,3626
December,141,Spain,Ships,"1999 Yamaha Speed Boat",1,3625
October,256,France,"Vintage Cars","1917 Maxwell Touring Car",1,3619
January,379,USA,"Vintage Cars","1917 Maxwell Touring Car",1,3616
May,282,Australia,"Classic Cars","1970 Chevy Chevelle SS 454",1,3616
October,141,Spain,"Classic Cars","1965 Aston Martin DB5",1,3609
August,204,USA,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,3607
May,455,USA,"Classic Cars","1982 Camaro Z28",1,3605
November,167,"Norway  ",Motorcycles,"1997 BMW F650 ST",1,3604
July,282,Australia,"Classic Cars","1952 Alpine Renault 1300",1,3600
October,202,Canada,"Classic Cars","1992 Ferrari 360 Spider red",1,3598
March,276,Australia,"Vintage Cars","1937 Lincoln Berline",1,3596
February,145,Denmark,Ships,"The Titanic",1,3594
November,114,Australia,"Classic Cars","1962 LanciaA Delta 16V",1,3590
October,473,Italy,Planes,"1928 British Royal Navy Airplane",1,3589
November,456,USA,Motorcycles,"2002 Yamaha YZR M1",1,3588
February,239,USA,"Vintage Cars","1940 Ford Delivery Sedan",1,3588
March,141,Spain,Planes,"1900s Vintage Tri-Plane",1,3586
November,344,Spain,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,3585
July,386,Italy,"Classic Cars","1965 Aston Martin DB5",1,3584
April,496,"New Zealand",Motorcycles,"2002 Suzuki XREO",1,3582
May,458,Spain,"Vintage Cars","1917 Maxwell Touring Car",1,3582
October,286,USA,"Classic Cars","1998 Chrysler Plymouth Prowler",1,3581
April,323,"New Zealand","Classic Cars","1976 Ford Gran Torino",1,3581
April,357,"New Zealand","Vintage Cars","1917 Maxwell Touring Car",1,3579
November,462,USA,"Classic Cars","1956 Porsche 356A Coupe",1,3578
November,144,Sweden,"Classic Cars","1968 Dodge Charger",1,3576
October,201,UK,"Classic Cars","1969 Chevrolet Camaro Z28",1,3575
September,249,Italy,"Vintage Cars","1904 Buick Runabout",1,3570
February,298,Switzerland,"Classic Cars","1961 Chevrolet Impala",1,3570
January,124,USA,"Classic Cars","1952 Citroen-15CV",1,3568
March,187,UK,"Classic Cars","2002 Chevy Corvette",1,3566
November,363,USA,"Classic Cars","1992 Ferrari 360 Spider red",1,3566
December,496,"New Zealand","Vintage Cars","1903 Ford Model A",1,3565
November,278,Italy,"Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",1,3564
May,458,Spain,"Trucks and Buses","1980â€™s GM Manhattan Express",1,3562
March,129,USA,"Vintage Cars","1917 Maxwell Touring Car",1,3560
January,141,Spain,"Trucks and Buses","1964 Mercedes Tour Bus",1,3559
November,339,USA,"Classic Cars","1962 LanciaA Delta 16V",1,3558
March,187,UK,"Classic Cars","1949 Jaguar XK 120",1,3556
November,144,Sweden,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,3556
November,462,USA,"Classic Cars","1995 Honda Civic",1,3556
November,456,USA,"Classic Cars","1969 Dodge Super Bee",1,3551
December,141,Spain,"Vintage Cars","1937 Lincoln Berline",1,3551
August,112,USA,"Classic Cars","1948 Porsche Type 356 Roadster",1,3548
November,350,France,"Vintage Cars","1932 Model A Ford J-Coupe",1,3547
November,278,Italy,Planes,"America West Airlines B757-200",1,3542
October,124,USA,"Vintage Cars","18th Century Vintage Horse Carriage",1,3542
December,323,"New Zealand",Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,3537
March,452,Austria,"Vintage Cars","1917 Maxwell Touring Car",1,3536
March,146,France,"Vintage Cars","1917 Grand Touring Sedan",1,3536
October,256,France,"Vintage Cars","1937 Lincoln Berline",1,3535
June,362,USA,"Classic Cars","1961 Chevrolet Impala",1,3533
December,250,France,"Classic Cars","1995 Honda Civic",1,3533
January,121,Norway,"Trucks and Buses","1940s Ford truck",1,3531
November,167,"Norway  ","Classic Cars","1999 Indy 500 Monte Carlo SS",1,3528
May,350,France,"Classic Cars","1995 Honda Civic",1,3528
January,334,Finland,"Classic Cars","1956 Porsche 356A Coupe",1,3526
April,260,Canada,Planes,"America West Airlines B757-200",1,3524
September,311,Finland,"Classic Cars","1992 Ferrari 360 Spider red",1,3521
January,146,France,Ships,"The Titanic",1,3521
November,172,France,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,3520
March,148,Singapore,Motorcycles,"1997 BMW F650 ST",1,3516
December,495,USA,"Classic Cars","1992 Ferrari 360 Spider red",1,3514
September,167,"Norway  ","Vintage Cars","1937 Lincoln Berline",1,3514
January,406,France,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,3512
May,334,Finland,"Classic Cars","1969 Corvair Monza",1,3512
November,187,UK,"Classic Cars","1969 Chevrolet Camaro Z28",1,3506
August,205,USA,Planes,"1928 British Royal Navy Airplane",1,3502
November,146,France,"Classic Cars","1962 LanciaA Delta 16V",1,3495
February,239,USA,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,3494
February,333,Australia,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,3494
November,144,Sweden,"Classic Cars","1976 Ford Gran Torino",1,3491
August,249,Italy,"Vintage Cars","1928 Mercedes-Benz SSK",1,3490
April,172,France,"Classic Cars","1982 Camaro Z28",1,3483
November,181,USA,"Trucks and Buses","1964 Mercedes Tour Bus",1,3483
January,320,USA,"Classic Cars","1993 Mazda RX-7",1,3482
February,321,USA,Ships,"The Mayflower",1,3480
November,320,USA,"Vintage Cars","1903 Ford Model A",1,3480
May,406,France,Motorcycles,"2002 Yamaha YZR M1",1,3476
November,114,Australia,"Classic Cars","1948 Porsche 356-A Roadster",1,3473
July,124,USA,Motorcycles,"2002 Yamaha YZR M1",1,3472
August,124,USA,Ships,"The Queen Mary",1,3472
June,447,USA,Planes,"America West Airlines B757-200",1,3470
October,124,USA,"Vintage Cars","1932 Model A Ford J-Coupe",1,3468
March,124,USA,"Classic Cars","1992 Ferrari 360 Spider red",1,3465
October,148,Singapore,"Classic Cars","1970 Triumph Spitfire",1,3458
January,334,Finland,"Classic Cars","1957 Corvette Convertible",1,3458
January,475,USA,"Vintage Cars","1917 Maxwell Touring Car",1,3458
November,424,USA,Ships,"18th century schooner",1,3457
October,161,USA,Planes,"F/A 18 Hornet 1/72",1,3456
March,124,USA,"Trucks and Buses","1957 Chevy Pickup",1,3456
October,424,USA,"Vintage Cars","1917 Maxwell Touring Car",1,3455
February,219,USA,"Classic Cars","1968 Dodge Charger",1,3453
November,486,USA,"Classic Cars","1948 Porsche Type 356 Roadster",1,3453
November,382,Austria,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,3453
April,496,"New Zealand",Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,3451
April,114,Australia,Motorcycles,"1996 Moto Guzzi 1100i",1,3449
March,462,USA,Planes,"American Airlines: B767-300",1,3445
August,286,USA,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,3445
August,205,USA,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,3445
May,173,USA,Ships,"HMS Bounty",1,3440
February,124,USA,"Classic Cars","1982 Camaro Z28",1,3439
November,216,Spain,Motorcycles,"1960 BSA Gold Star DBD34",1,3435
May,119,France,"Trucks and Buses","1980â€™s GM Manhattan Express",1,3435
September,189,Ireland,Planes,"1928 British Royal Navy Airplane",1,3431
May,350,France,"Classic Cars","1992 Ferrari 360 Spider red",1,3429
April,328,USA,Planes,"1900s Vintage Tri-Plane",1,3428
February,189,Ireland,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,3426
August,112,USA,"Classic Cars","1995 Honda Civic",1,3424
March,128,Germany,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,3424
January,177,Japan,Planes,"P-51-D Mustang",1,3422
September,379,USA,"Classic Cars","1968 Dodge Charger",1,3422
November,462,USA,"Classic Cars","1999 Indy 500 Monte Carlo SS",1,3421
July,161,USA,"Classic Cars","1962 LanciaA Delta 16V",1,3419
October,161,USA,Planes,"ATA: B757-300",1,3417
November,259,Germany,"Classic Cars","1961 Chevrolet Impala",1,3415
September,276,Australia,"Classic Cars","1995 Honda Civic",1,3414
November,455,USA,"Classic Cars","1970 Triumph Spitfire",1,3413
October,161,USA,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,3411
October,227,Denmark,"Classic Cars","1993 Mazda RX-7",1,3408
January,141,Spain,"Classic Cars","1993 Mazda RX-7",1,3407
May,362,USA,Ships,"1999 Yamaha Speed Boat",1,3406
August,112,USA,"Classic Cars","1956 Porsche 356A Coupe",1,3406
September,186,Finland,Motorcycles,"2002 Yamaha YZR M1",1,3401
